species	NCBI.taxid	value	db	life_history_traits
Balaenoptera_musculus	9771	190000	ADW	weight_kg
Chelonoidis_abingdonii	106734	64605	EOL Chelonoidis abingdonii	lifespan_days
Rhincodon_typus	259920	54750	ADW	lifespan_days
Terrapene_carolina	158814	50370	AnAge;ADW;EOL	lifespan_days
Physeter_catodon	9755	50000	ADW	weight_kg
Homo_sapiens	9606	44712.5	AnAge	lifespan_days
Anoplopoma_fimbria	229290	41610	AnAge	lifespan_days
Mercenaria_mercenaria	6596	38690	AnAge	lifespan_days
Probosciger_aterrimus	141839	36500	ADW text	lifespan_days
Homarus_americanus	6706	36500	AnAge	lifespan_days
Orcinus_orca	9733	36000	EOL	lifespan_days
Hippoglossus_hippoglossus	8267	32850	AnAge	lifespan_days
Anguilla_anguilla	7936	32120	AnAge	lifespan_days
Elephas_maximus	9783	31390	ADW	lifespan_days
Loxodonta_africana	9785	29200	ADW	lifespan_days
Gopherus_evgoodei	1825980	29200	ADW Gopherus agassizii	lifespan_days
Caretta_caretta	8467	28105	AnAge	lifespan_days
Alligator_mississippiensis	8496	28105	AnAge	lifespan_days
Chelonia_mydas	8469	27375	AnAge;ADW	lifespan_days
Buceros_rhinoceros	175835	25550	ADW text	lifespan_days
Gopherus_flavomarginatus	286002	25550	ADW	lifespan_days
Alligator_sinensis	38654	25550	ADW	lifespan_days
Trichechus_manatus	9778	25185	AnAge	lifespan_days
Pan_troglodytes	9598	24820	AnAge	lifespan_days
Megalops_atlanticus	7932	22995	ADW	lifespan_days
Equus_caballus	9796	22630	ADW	lifespan_days
Varanus_komodoensis	61221	22630	AnAge	lifespan_days
Chrysemys_picta	8479	22265	AnAge	lifespan_days
Gorilla_gorilla	9593	21936.5	AnAge	lifespan_days
Strigops_habroptila	2489341	21900	ADW text;AnAge	lifespan_days
Pristis_pectinata	685728	21900	ADW	lifespan_days
Globicephala_melas	9731	21900	AnAge;ADW	lifespan_days
Delphinapterus_leucas	9749	21900	ADW	lifespan_days
Pongo_pygmaeus	9600	21600	EOL	lifespan_days
Gavialis_gangeticus	94835	21535	AnAge	lifespan_days
Pongo_abelii	9601	21170	ADW	lifespan_days
Crocodylus_porosus	8502	20805	AnAge	lifespan_days
Hippoglossus_stenolepis	195615	20075	EOL;fishbase	lifespan_days
Polyodon_spathula	7913	20075	AnAge;ADW;fishbase	lifespan_days
Pan_paniscus	9597	20075	AnAge	lifespan_days
Coryphaenoides_rupestris	163118	19710	AnAge;EOL;fishbase	lifespan_days
Tursiops_truncatus	9739	19345	ADW	lifespan_days
Fulmarus_glacialis	30455	18615	AnAge	lifespan_days
Pleuronectes_platessa	8262	18250	AnAge;EOL;fishbase	lifespan_days
Dissostichus_eleginoides	100907	18250	AnAge	lifespan_days
Coregonus_clupeaformis	59861	18250	AnAge;ADW;fishbase	lifespan_days
Tachyglossus_aculeatus	9261	18250	ADW	lifespan_days
Xyrauchen_texanus	154827	18250	ADW	lifespan_days
Atractosteus_spatula	7917	18250	ADW	lifespan_days
Strongylocentrotus_purpuratus	7668	18250	AnAge;EOL	lifespan_days
Ursus_arctos	9644	18250	ADW	lifespan_days
Balaenoptera_acutorostrata	9767	18250	ADW;AnAge	lifespan_days
Equus_asinus	9793	18250	ADW	lifespan_days
Struthio_camelus	8801	18250	ADW;AnAge	lifespan_days
Ceratotherium_simum	9807	18250	ADW	lifespan_days
Aptenodytes_forsteri	9233	18250	ADW	lifespan_days
Carcharodon_carcharias	13397	18250	AnAge	lifespan_days
Camelus_bactrianus	9837	18250	ADW	lifespan_days
Camelus_dromedarius	9838	18250	ADW	lifespan_days
Monodon_monoceros	40151	18250	AnAge;ADW	lifespan_days
Salvelinus_namaycush	8040	18250	AnAge;fishbase;EOL	lifespan_days
Haliaeetus_leucocephalus	52644	17520	AnAge	lifespan_days
Latimeria_chalumnae	7897	17520	AnAge;ADW;EOL;fishbase	lifespan_days
Aquila_chrysaetos	8962	17520	ADW;AnAge	lifespan_days
Phoca_vitulina	9720	17374	AnAge;ADW	lifespan_days
Nestor_notabilis	176057	17155	AnAge	lifespan_days
Chelydra_serpentina	8475	17155	AnAge;ADW	lifespan_days
Cyprinus_carpio	7962	17155	ADW;AnAge	lifespan_days
Acipenser_ruthenus	7906	16826.5	AnAge	lifespan_days
Halichoerus_grypus	9711	16802.1	EOL	lifespan_days
Mandrillus_leucophaeus	9568	16790	ADW	lifespan_days
Lagenorhynchus_obliquidens	90247	16790	AnAge;ADW	lifespan_days
Sapajus_apella	9515	16790	AnAge	lifespan_days
Aythya_fuligula	219594	16498	AnAge	lifespan_days
Gymnogyps_californianus	33616	16425	AnAge;ADW	lifespan_days
Hylobates_moloch	81572	16425	AnAge;ADW	lifespan_days
Nomascus_leucogenys	61853	16096.5	AnAge	lifespan_days
Megalops_cyprinoides	118141	16060	AnAge;fishbase;EOL	lifespan_days
Pteropus_giganteus	143291	16060	AnAge	lifespan_days
Ursus_maritimus	29073	15995	ADW format	lifespan_days
Symphalangus_syndactylus	9590	15695	AnAge	lifespan_days
Carassius_auratus	7957	15695	ADW	lifespan_days
Uria_aalge	13746	15622	AnAge	lifespan_days
Eudyptula_minor	37083	15403	AnAge	lifespan_days
Haliaeetus_albicilla	8969	15330	AnAge;EOL	lifespan_days
Trachemys_scripta	34903	15074.5	ADW;AnAge	lifespan_days
Crocuta_crocuta	9678	15001.5	AnAge;ADW	lifespan_days
Myotis_brandtii	109478	14965	AnAge	lifespan_days
Pygoscelis_papua	30457	14965	AnAge	lifespan_days
Equus_quagga	89248	14600	ADW	lifespan_days
Bufo_bufo	8384	14600	AnAge;EOL	lifespan_days
Eolophus_roseicapilla	176039	14600	AnAge;EOL	lifespan_days
Cygnus_olor	8869	14600	AnAge;ADW	lifespan_days
Grus_americana	9117	14600	AnAge;ADW	lifespan_days
Epinephelus_fuscoguttatus	293821	14600	EOL;fishbase	lifespan_days
Cygnus_atratus	8868	14600	ADW	lifespan_days
Macaca_mulatta	9544	14600	AnAge	lifespan_days
Anser_cygnoides	8845	14600	ADW	lifespan_days
Bison_bison	9901	14600	ADW	lifespan_days
Apteryx_rowi	308060	14600	ADW Apteryx australis	lifespan_days
Ictalurus_punctatus	7998	14600	ADW	lifespan_days
Dissostichus_mawsoni	36200	14235	EOL;fishbase	lifespan_days
Macaca_fascicularis	9541	14235	AnAge	lifespan_days
Salmo_trutta	8032	13870	AnAge;fishbase;ADW	lifespan_days
Macaca_nemestrina	9545	13724	AnAge	lifespan_days
Papio_anubis	9555	13687.5	ADW	lifespan_days
Lemur_catta	9447	13614.5	AnAge	lifespan_days
Myotis_myotis	51298	13541.5	AnAge	lifespan_days
Thalassarche_chlororhynchos	54017	13505	AnAge;EOL	lifespan_days
Choloepus_didactylus	27675	13432	AnAge	lifespan_days
